datetime,D,NG,Diff
2025-09-01,50980.0,53734.0,2754.0
2025-09-02,52406.0,58862.0,6456.0
2025-09-03,55935.0,68112.0,12177.0
2025-09-04,55036.0,65216.0,10180.0
2025-09-05,50880.0,66368.0,15488.0
2025-09-06,44529.0,59469.0,14940.0
2025-09-07,45335.0,53815.0,8480.0
2025-09-08,49226.0,47088.0,-2138.0
2025-09-09,48845.0,47798.0,-1047.0
2025-09-10,53497.0,60993.0,7496.0
2025-09-11,60804.0,62158.0,1354.0
2025-09-12,66620.0,67708.0,1088.0
2025-09-13,68202.0,63883.0,-4319.0
2025-09-14,67217.0,59673.0,-7544.0
2025-09-15,67388.0,65219.0,-2169.0
2025-09-16,65156.0,62565.0,-2591.0
2025-09-17,64257.0,63162.0,-1095.0
2025-09-18,61715.0,62223.0,508.0
2025-09-19,57383.0,66223.0,8840.0
2025-09-20,54269.0,58569.0,4300.0
2025-09-21,52720.0,57844.0,5124.0
2025-09-22,55248.0,57349.0,2101.0
2025-09-23,54181.0,63257.0,9076.0
2025-09-24,49811.0,61593.0,11782.0
2025-09-25,49398.0,62286.0,12888.0
2025-09-26,51164.0,58744.0,7580.0
2025-09-27,2735.0,2393.0,-342.0
