datetime,D,NG,Diff,Day,Hour,CloseToLimit
2025-09-01 13:00:00,1658.0,1668.0,10.0,2025-09-01,13,True
2025-09-01 14:00:00,1838.0,1792.0,-46.0,2025-09-01,14,True
2025-09-01 15:00:00,2013.0,1831.0,-182.0,2025-09-01,15,True
2025-09-01 16:00:00,2175.0,1988.0,-187.0,2025-09-01,16,True
2025-09-01 17:00:00,2313.0,2296.0,-17.0,2025-09-01,17,True
2025-09-01 18:00:00,2444.0,2431.0,-13.0,2025-09-01,18,True
2025-09-01 19:00:00,2533.0,2628.0,95.0,2025-09-01,19,True
2025-09-01 20:00:00,2624.0,2747.0,123.0,2025-09-01,20,True
2025-09-01 21:00:00,2702.0,2745.0,43.0,2025-09-01,21,True
2025-09-01 22:00:00,2789.0,2782.0,-7.0,2025-09-01,22,True
2025-09-01 23:00:00,2807.0,2746.0,-61.0,2025-09-01,23,True
2025-09-02 00:00:00,2754.0,2729.0,-25.0,2025-09-02,0,True
2025-09-02 01:00:00,2645.0,2691.0,46.0,2025-09-02,1,True
2025-09-02 02:00:00,2561.0,2668.0,107.0,2025-09-02,2,True
2025-09-02 11:00:00,1626.0,1684.0,58.0,2025-09-02,11,True
2025-09-02 21:00:00,2881.0,3045.0,164.0,2025-09-02,21,True
2025-09-02 22:00:00,2955.0,3039.0,84.0,2025-09-02,22,True
2025-09-02 23:00:00,3005.0,3138.0,133.0,2025-09-02,23,True
2025-09-03 00:00:00,2947.0,3129.0,182.0,2025-09-03,0,True
2025-09-03 20:00:00,3098.0,3231.0,133.0,2025-09-03,20,True
2025-09-03 21:00:00,3215.0,3326.0,111.0,2025-09-03,21,True
2025-09-03 22:00:00,3329.0,3445.0,116.0,2025-09-03,22,True
2025-09-03 23:00:00,3384.0,3573.0,189.0,2025-09-03,23,True
2025-09-04 07:00:00,1705.0,1802.0,97.0,2025-09-04,7,True
2025-09-04 08:00:00,1642.0,1700.0,58.0,2025-09-04,8,True
2025-09-05 11:00:00,1753.0,1858.0,105.0,2025-09-05,11,True
2025-09-07 21:00:00,2474.0,2562.0,88.0,2025-09-07,21,True
2025-09-07 22:00:00,2561.0,2567.0,6.0,2025-09-07,22,True
2025-09-07 23:00:00,2618.0,2549.0,-69.0,2025-09-07,23,True
2025-09-08 00:00:00,2567.0,2517.0,-50.0,2025-09-08,0,True
2025-09-08 01:00:00,2459.0,2571.0,112.0,2025-09-08,1,True
2025-09-08 05:00:00,1788.0,1887.0,99.0,2025-09-08,5,True
2025-09-08 06:00:00,1654.0,1624.0,-30.0,2025-09-08,6,True
2025-09-08 07:00:00,1562.0,1546.0,-16.0,2025-09-08,7,True
2025-09-08 08:00:00,1528.0,1524.0,-4.0,2025-09-08,8,True
2025-09-08 09:00:00,1533.0,1525.0,-8.0,2025-09-08,9,True
2025-09-08 10:00:00,1576.0,1459.0,-117.0,2025-09-08,10,True
2025-09-08 11:00:00,1692.0,1482.0,-210.0,2025-09-08,11,True
2025-09-08 12:00:00,1912.0,1543.0,-369.0,2025-09-08,12,True
2025-09-08 13:00:00,1911.0,1595.0,-316.0,2025-09-08,13,True
2025-09-08 14:00:00,1929.0,1630.0,-299.0,2025-09-08,14,True
2025-09-08 15:00:00,1985.0,1662.0,-323.0,2025-09-08,15,True
2025-09-08 16:00:00,1997.0,1581.0,-416.0,2025-09-08,16,True
2025-09-08 17:00:00,2123.0,1687.0,-436.0,2025-09-08,17,True
2025-09-08 18:00:00,2159.0,1861.0,-298.0,2025-09-08,18,True
2025-09-08 19:00:00,2302.0,2229.0,-73.0,2025-09-08,19,True
2025-09-08 20:00:00,2380.0,2389.0,9.0,2025-09-08,20,True
2025-09-08 21:00:00,2448.0,2449.0,1.0,2025-09-08,21,True
2025-09-08 22:00:00,2561.0,2445.0,-116.0,2025-09-08,22,True
2025-09-08 23:00:00,2588.0,2334.0,-254.0,2025-09-08,23,True
2025-09-09 00:00:00,2571.0,2317.0,-254.0,2025-09-09,0,True
2025-09-09 01:00:00,2450.0,2250.0,-200.0,2025-09-09,1,True
2025-09-09 02:00:00,2399.0,2382.0,-17.0,2025-09-09,2,True
2025-09-09 07:00:00,1596.0,1676.0,80.0,2025-09-09,7,True
2025-09-09 12:00:00,1892.0,1899.0,7.0,2025-09-09,12,True
2025-09-09 13:00:00,1778.0,1642.0,-136.0,2025-09-09,13,True
2025-09-09 14:00:00,1863.0,1444.0,-419.0,2025-09-09,14,True
2025-09-09 15:00:00,1877.0,1543.0,-334.0,2025-09-09,15,True
2025-09-09 16:00:00,1943.0,1519.0,-424.0,2025-09-09,16,True
2025-09-09 17:00:00,2024.0,1701.0,-323.0,2025-09-09,17,True
2025-09-09 18:00:00,2113.0,1837.0,-276.0,2025-09-09,18,True
2025-09-09 19:00:00,2226.0,2077.0,-149.0,2025-09-09,19,True
2025-09-09 20:00:00,2360.0,2183.0,-177.0,2025-09-09,20,True
2025-09-09 21:00:00,2474.0,2351.0,-123.0,2025-09-09,21,True
2025-09-09 22:00:00,2623.0,2665.0,42.0,2025-09-09,22,True
2025-09-09 23:00:00,2678.0,2801.0,123.0,2025-09-09,23,True
2025-09-10 00:00:00,2666.0,2832.0,166.0,2025-09-10,0,True
2025-09-10 20:00:00,2974.0,3128.0,154.0,2025-09-10,20,True
2025-09-10 21:00:00,3080.0,3114.0,34.0,2025-09-10,21,True
2025-09-10 22:00:00,3178.0,3071.0,-107.0,2025-09-10,22,True
2025-09-10 23:00:00,3203.0,3163.0,-40.0,2025-09-10,23,True
2025-09-11 00:00:00,3144.0,3146.0,2.0,2025-09-11,0,True
2025-09-11 01:00:00,2959.0,3015.0,56.0,2025-09-11,1,True
2025-09-11 02:00:00,2826.0,2997.0,171.0,2025-09-11,2,True
2025-09-11 04:00:00,2303.0,2434.0,131.0,2025-09-11,4,True
2025-09-11 05:00:00,2067.0,2124.0,57.0,2025-09-11,5,True
2025-09-11 06:00:00,1880.0,1857.0,-23.0,2025-09-11,6,True
2025-09-11 07:00:00,1763.0,1840.0,77.0,2025-09-11,7,True
2025-09-11 12:00:00,1962.0,2048.0,86.0,2025-09-11,12,True
2025-09-11 17:00:00,2729.0,2896.0,167.0,2025-09-11,17,True
2025-09-11 18:00:00,3019.0,3076.0,57.0,2025-09-11,18,True
2025-09-11 19:00:00,3313.0,3188.0,-125.0,2025-09-11,19,True
2025-09-11 20:00:00,3517.0,3270.0,-247.0,2025-09-11,20,True
2025-09-11 21:00:00,3662.0,3360.0,-302.0,2025-09-11,21,True
2025-09-11 22:00:00,3777.0,3437.0,-340.0,2025-09-11,22,True
2025-09-11 23:00:00,3776.0,3435.0,-341.0,2025-09-11,23,True
2025-09-12 00:00:00,3632.0,3391.0,-241.0,2025-09-12,0,True
2025-09-12 01:00:00,3393.0,3281.0,-112.0,2025-09-12,1,True
2025-09-12 02:00:00,3206.0,3191.0,-15.0,2025-09-12,2,True
2025-09-12 03:00:00,2955.0,3096.0,141.0,2025-09-12,3,True
2025-09-12 06:00:00,2159.0,2229.0,70.0,2025-09-12,6,True
2025-09-12 07:00:00,2007.0,1999.0,-8.0,2025-09-12,7,True
2025-09-12 08:00:00,1894.0,1987.0,93.0,2025-09-12,8,True
2025-09-12 10:00:00,1839.0,1952.0,113.0,2025-09-12,10,True
2025-09-12 12:00:00,2063.0,2042.0,-21.0,2025-09-12,12,True
2025-09-12 13:00:00,2108.0,1998.0,-110.0,2025-09-12,13,True
2025-09-12 18:00:00,3292.0,3428.0,136.0,2025-09-12,18,True
2025-09-12 19:00:00,3571.0,3523.0,-48.0,2025-09-12,19,True
2025-09-12 20:00:00,3774.0,3619.0,-155.0,2025-09-12,20,True
2025-09-12 21:00:00,3894.0,3604.0,-290.0,2025-09-12,21,True
2025-09-12 22:00:00,3990.0,3635.0,-355.0,2025-09-12,22,True
2025-09-12 23:00:00,3989.0,3718.0,-271.0,2025-09-12,23,True
2025-09-13 00:00:00,3766.0,3570.0,-196.0,2025-09-13,0,True
2025-09-13 01:00:00,3467.0,3349.0,-118.0,2025-09-13,1,True
2025-09-13 02:00:00,3256.0,3164.0,-92.0,2025-09-13,2,True
2025-09-13 03:00:00,3012.0,2838.0,-174.0,2025-09-13,3,True
2025-09-13 04:00:00,2734.0,2625.0,-109.0,2025-09-13,4,True
2025-09-13 05:00:00,2501.0,2510.0,9.0,2025-09-13,5,True
2025-09-13 06:00:00,2274.0,2371.0,97.0,2025-09-13,6,True
2025-09-13 07:00:00,2103.0,2231.0,128.0,2025-09-13,7,True
2025-09-13 08:00:00,1979.0,2007.0,28.0,2025-09-13,8,True
2025-09-13 09:00:00,1889.0,1908.0,19.0,2025-09-13,9,True
2025-09-13 10:00:00,1843.0,1865.0,22.0,2025-09-13,10,True
2025-09-13 11:00:00,1845.0,1830.0,-15.0,2025-09-13,11,True
2025-09-13 12:00:00,1860.0,1865.0,5.0,2025-09-13,12,True
2025-09-13 13:00:00,1979.0,1973.0,-6.0,2025-09-13,13,True
2025-09-13 14:00:00,2181.0,2211.0,30.0,2025-09-13,14,True
2025-09-13 15:00:00,2494.0,2604.0,110.0,2025-09-13,15,True
2025-09-13 16:00:00,2811.0,2973.0,162.0,2025-09-13,16,True
2025-09-13 17:00:00,3165.0,3024.0,-141.0,2025-09-13,17,True
2025-09-13 18:00:00,3456.0,3044.0,-412.0,2025-09-13,18,True
2025-09-13 19:00:00,3718.0,3036.0,-682.0,2025-09-13,19,True
2025-09-13 20:00:00,3885.0,3118.0,-767.0,2025-09-13,20,True
2025-09-13 21:00:00,3983.0,3120.0,-863.0,2025-09-13,21,True
2025-09-13 22:00:00,4013.0,3277.0,-736.0,2025-09-13,22,True
