datetime,D,NG,Diff,Day,Hour,CloseToLimit,Month
2024-03-01 00:00:00,2545.0,2177.0,-368.0,2024-03-01,0,True,2024-03
2024-03-01 01:00:00,2794.0,2173.0,-621.0,2024-03-01,1,True,2024-03
2024-03-01 02:00:00,2890.0,2365.0,-525.0,2024-03-01,2,True,2024-03
2024-03-01 03:00:00,2873.0,2485.0,-388.0,2024-03-01,3,True,2024-03
2024-03-01 04:00:00,2812.0,2428.0,-384.0,2024-03-01,4,True,2024-03
2024-03-01 05:00:00,2675.0,2313.0,-362.0,2024-03-01,5,True,2024-03
2024-03-01 06:00:00,2578.0,2295.0,-283.0,2024-03-01,6,True,2024-03
2024-03-01 07:00:00,2550.0,2226.0,-324.0,2024-03-01,7,True,2024-03
2024-03-01 08:00:00,2532.0,2151.0,-381.0,2024-03-01,8,True,2024-03
2024-03-01 09:00:00,2536.0,2165.0,-371.0,2024-03-01,9,True,2024-03
2024-03-01 10:00:00,2549.0,2130.0,-419.0,2024-03-01,10,True,2024-03
2024-03-01 11:00:00,2645.0,2264.0,-381.0,2024-03-01,11,True,2024-03
2024-03-01 12:00:00,2779.0,2383.0,-396.0,2024-03-01,12,True,2024-03
2024-03-01 13:00:00,3014.0,2535.0,-479.0,2024-03-01,13,True,2024-03
2024-03-01 14:00:00,3046.0,2554.0,-492.0,2024-03-01,14,True,2024-03
2024-03-01 15:00:00,2961.0,2481.0,-480.0,2024-03-01,15,True,2024-03
2024-03-01 16:00:00,2867.0,2514.0,-353.0,2024-03-01,16,True,2024-03
2024-03-01 17:00:00,2696.0,2360.0,-336.0,2024-03-01,17,True,2024-03
2024-03-01 18:00:00,2521.0,2228.0,-293.0,2024-03-01,18,True,2024-03
2024-03-01 19:00:00,2362.0,2313.0,-49.0,2024-03-01,19,True,2024-03
2024-03-01 20:00:00,2242.0,2371.0,129.0,2024-03-01,20,True,2024-03
2024-03-01 23:00:00,2160.0,2267.0,107.0,2024-03-01,23,True,2024-03
2024-03-02 00:00:00,2247.0,2184.0,-63.0,2024-03-02,0,True,2024-03
2024-03-02 01:00:00,2440.0,2241.0,-199.0,2024-03-02,1,True,2024-03
2024-03-02 02:00:00,2579.0,2266.0,-313.0,2024-03-02,2,True,2024-03
2024-03-02 03:00:00,2607.0,2187.0,-420.0,2024-03-02,3,True,2024-03
2024-03-02 04:00:00,2598.0,2137.0,-461.0,2024-03-02,4,True,2024-03
2024-03-02 05:00:00,2538.0,2089.0,-449.0,2024-03-02,5,True,2024-03
2024-03-02 06:00:00,2480.0,2038.0,-442.0,2024-03-02,6,True,2024-03
2024-03-02 07:00:00,2439.0,1995.0,-444.0,2024-03-02,7,True,2024-03
2024-03-02 08:00:00,2460.0,2010.0,-450.0,2024-03-02,8,True,2024-03
2024-03-02 09:00:00,2493.0,2052.0,-441.0,2024-03-02,9,True,2024-03
2024-03-02 10:00:00,2493.0,2053.0,-440.0,2024-03-02,10,True,2024-03
2024-03-02 11:00:00,2539.0,1985.0,-554.0,2024-03-02,11,True,2024-03
2024-03-02 12:00:00,2627.0,2090.0,-537.0,2024-03-02,12,True,2024-03
2024-03-02 13:00:00,2770.0,2195.0,-575.0,2024-03-02,13,True,2024-03
2024-03-02 14:00:00,2823.0,2329.0,-494.0,2024-03-02,14,True,2024-03
2024-03-02 15:00:00,2639.0,2407.0,-232.0,2024-03-02,15,True,2024-03
2024-03-02 16:00:00,2412.0,2288.0,-124.0,2024-03-02,16,True,2024-03
2024-03-02 17:00:00,2232.0,2197.0,-35.0,2024-03-02,17,True,2024-03
2024-03-02 18:00:00,2119.0,2077.0,-42.0,2024-03-02,18,True,2024-03
2024-03-02 19:00:00,2040.0,1864.0,-176.0,2024-03-02,19,True,2024-03
2024-03-02 20:00:00,1979.0,1723.0,-256.0,2024-03-02,20,True,2024-03
2024-03-02 21:00:00,1933.0,1551.0,-382.0,2024-03-02,21,True,2024-03
2024-03-02 22:00:00,1911.0,1663.0,-248.0,2024-03-02,22,True,2024-03
2024-03-02 23:00:00,1950.0,1745.0,-205.0,2024-03-02,23,True,2024-03
2024-03-03 00:00:00,2006.0,1802.0,-204.0,2024-03-03,0,True,2024-03
2024-03-03 01:00:00,2122.0,1783.0,-339.0,2024-03-03,1,True,2024-03
2024-03-03 02:00:00,2143.0,1695.0,-448.0,2024-03-03,2,True,2024-03
2024-03-03 03:00:00,2112.0,1537.0,-575.0,2024-03-03,3,True,2024-03
2024-03-03 04:00:00,2031.0,1429.0,-602.0,2024-03-03,4,True,2024-03
2024-03-03 05:00:00,1932.0,1422.0,-510.0,2024-03-03,5,True,2024-03
2024-03-03 06:00:00,1842.0,1508.0,-334.0,2024-03-03,6,True,2024-03
2024-03-03 07:00:00,1781.0,1413.0,-368.0,2024-03-03,7,True,2024-03
2024-03-03 08:00:00,1758.0,1366.0,-392.0,2024-03-03,8,True,2024-03
2024-03-03 09:00:00,1719.0,1351.0,-368.0,2024-03-03,9,True,2024-03
2024-03-03 10:00:00,1750.0,1375.0,-375.0,2024-03-03,10,True,2024-03
2024-03-03 11:00:00,1788.0,1433.0,-355.0,2024-03-03,11,True,2024-03
2024-03-03 12:00:00,1855.0,1578.0,-277.0,2024-03-03,12,True,2024-03
2024-03-03 13:00:00,1976.0,1607.0,-369.0,2024-03-03,13,True,2024-03
2024-03-03 14:00:00,2075.0,1661.0,-414.0,2024-03-03,14,True,2024-03
2024-03-03 15:00:00,2140.0,1636.0,-504.0,2024-03-03,15,True,2024-03
2024-03-03 16:00:00,2094.0,1512.0,-582.0,2024-03-03,16,True,2024-03
2024-03-03 17:00:00,2017.0,1417.0,-600.0,2024-03-03,17,True,2024-03
2024-03-03 18:00:00,1979.0,1384.0,-595.0,2024-03-03,18,True,2024-03
2024-03-03 19:00:00,1957.0,1380.0,-577.0,2024-03-03,19,True,2024-03
2024-03-03 20:00:00,1955.0,1388.0,-567.0,2024-03-03,20,True,2024-03
2024-03-03 21:00:00,1946.0,1382.0,-564.0,2024-03-03,21,True,2024-03
2024-03-03 22:00:00,1977.0,1356.0,-621.0,2024-03-03,22,True,2024-03
2024-03-03 23:00:00,2050.0,1445.0,-605.0,2024-03-03,23,True,2024-03
2024-03-04 00:00:00,2077.0,1485.0,-592.0,2024-03-04,0,True,2024-03
2024-03-04 01:00:00,2160.0,1660.0,-500.0,2024-03-04,1,True,2024-03
2024-03-04 02:00:00,2176.0,1722.0,-454.0,2024-03-04,2,True,2024-03
2024-03-04 03:00:00,2031.0,1748.0,-283.0,2024-03-04,3,True,2024-03
2024-03-04 04:00:00,1877.0,1727.0,-150.0,2024-03-04,4,True,2024-03
2024-03-04 05:00:00,1729.0,1724.0,-5.0,2024-03-04,5,True,2024-03
2024-03-04 06:00:00,1583.0,1643.0,60.0,2024-03-04,6,True,2024-03
2024-03-04 16:00:00,1933.0,2036.0,103.0,2024-03-04,16,True,2024-03
2024-03-04 17:00:00,1923.0,1913.0,-10.0,2024-03-04,17,True,2024-03
2024-03-04 18:00:00,1938.0,1875.0,-63.0,2024-03-04,18,True,2024-03
2024-03-04 19:00:00,1960.0,1954.0,-6.0,2024-03-04,19,True,2024-03
2024-03-04 20:00:00,1977.0,2034.0,57.0,2024-03-04,20,True,2024-03
2024-03-05 00:00:00,2088.0,2208.0,120.0,2024-03-05,0,True,2024-03
2024-03-05 01:00:00,2194.0,2255.0,61.0,2024-03-05,1,True,2024-03
2024-03-05 02:00:00,2225.0,2255.0,30.0,2024-03-05,2,True,2024-03
2024-03-05 05:00:00,1823.0,1833.0,10.0,2024-03-05,5,True,2024-03
2024-03-05 06:00:00,1667.0,1524.0,-143.0,2024-03-05,6,True,2024-03
2024-03-05 07:00:00,1553.0,1549.0,-4.0,2024-03-05,7,True,2024-03
2024-03-05 08:00:00,1504.0,1552.0,48.0,2024-03-05,8,True,2024-03
2024-03-05 09:00:00,1503.0,1552.0,49.0,2024-03-05,9,True,2024-03
2024-03-05 11:00:00,1553.0,1651.0,98.0,2024-03-05,11,True,2024-03
2024-03-07 16:00:00,2272.0,2380.0,108.0,2024-03-07,16,True,2024-03
2024-03-07 17:00:00,2265.0,2250.0,-15.0,2024-03-07,17,True,2024-03
2024-03-07 18:00:00,2231.0,2131.0,-100.0,2024-03-07,18,True,2024-03
2024-03-07 19:00:00,2189.0,2144.0,-45.0,2024-03-07,19,True,2024-03
2024-03-07 20:00:00,2183.0,2182.0,-1.0,2024-03-07,20,True,2024-03
2024-03-07 21:00:00,2175.0,2129.0,-46.0,2024-03-07,21,True,2024-03
2024-03-07 22:00:00,2200.0,2132.0,-68.0,2024-03-07,22,True,2024-03
2024-03-07 23:00:00,2234.0,2104.0,-130.0,2024-03-07,23,True,2024-03
2024-03-08 00:00:00,2313.0,2109.0,-204.0,2024-03-08,0,True,2024-03
2024-03-08 01:00:00,2369.0,2237.0,-132.0,2024-03-08,1,True,2024-03
2024-03-08 02:00:00,2373.0,2208.0,-165.0,2024-03-08,2,True,2024-03
2024-03-08 03:00:00,2285.0,2110.0,-175.0,2024-03-08,3,True,2024-03
2024-03-08 04:00:00,2162.0,2088.0,-74.0,2024-03-08,4,True,2024-03
2024-03-08 05:00:00,2040.0,1940.0,-100.0,2024-03-08,5,True,2024-03
2024-03-08 06:00:00,1901.0,1647.0,-254.0,2024-03-08,6,True,2024-03
2024-03-08 07:00:00,1825.0,1607.0,-218.0,2024-03-08,7,True,2024-03
2024-03-08 08:00:00,1805.0,1601.0,-204.0,2024-03-08,8,True,2024-03
2024-03-08 09:00:00,1780.0,1506.0,-274.0,2024-03-08,9,True,2024-03
2024-03-08 10:00:00,1779.0,1529.0,-250.0,2024-03-08,10,True,2024-03
2024-03-08 11:00:00,1850.0,1650.0,-200.0,2024-03-08,11,True,2024-03
2024-03-08 12:00:00,1991.0,1681.0,-310.0,2024-03-08,12,True,2024-03
2024-03-08 13:00:00,2203.0,1890.0,-313.0,2024-03-08,13,True,2024-03
2024-03-08 14:00:00,2268.0,1977.0,-291.0,2024-03-08,14,True,2024-03
2024-03-08 15:00:00,2244.0,2097.0,-147.0,2024-03-08,15,True,2024-03
2024-03-08 16:00:00,2216.0,2013.0,-203.0,2024-03-08,16,True,2024-03
2024-03-08 17:00:00,2190.0,1964.0,-226.0,2024-03-08,17,True,2024-03
2024-03-08 18:00:00,2160.0,1909.0,-251.0,2024-03-08,18,True,2024-03
2024-03-08 19:00:00,2132.0,1907.0,-225.0,2024-03-08,19,True,2024-03
2024-03-08 20:00:00,2156.0,1915.0,-241.0,2024-03-08,20,True,2024-03
2024-03-08 21:00:00,2159.0,1921.0,-238.0,2024-03-08,21,True,2024-03
2024-03-08 22:00:00,2211.0,2018.0,-193.0,2024-03-08,22,True,2024-03
2024-03-08 23:00:00,2329.0,2181.0,-148.0,2024-03-08,23,True,2024-03
2024-03-09 00:00:00,2434.0,2304.0,-130.0,2024-03-09,0,True,2024-03
