datetime,D,NG,Diff,Day,Hour,CloseToLimit
2025-09-01 00:00:00,2604.0,2871.0,267.0,2025-09-01,0,False
2025-09-01 01:00:00,2449.0,2686.0,237.0,2025-09-01,1,False
2025-09-01 02:00:00,2433.0,2828.0,395.0,2025-09-01,2,False
2025-09-01 03:00:00,2310.0,2598.0,288.0,2025-09-01,3,False
2025-09-01 04:00:00,2117.0,2344.0,227.0,2025-09-01,4,False
2025-09-01 05:00:00,1933.0,2067.0,134.0,2025-09-01,5,False
2025-09-01 06:00:00,1798.0,1982.0,184.0,2025-09-01,6,False
2025-09-01 07:00:00,1651.0,1895.0,244.0,2025-09-01,7,False
2025-09-01 08:00:00,1607.0,1842.0,235.0,2025-09-01,8,False
2025-09-01 09:00:00,1576.0,1811.0,235.0,2025-09-01,9,False
2025-09-01 10:00:00,1518.0,1740.0,222.0,2025-09-01,10,False
2025-09-01 11:00:00,1527.0,1712.0,185.0,2025-09-01,11,False
2025-09-01 12:00:00,1561.0,1704.0,143.0,2025-09-01,12,False
2025-09-01 13:00:00,1658.0,1668.0,10.0,2025-09-01,13,True
2025-09-01 14:00:00,1838.0,1792.0,-46.0,2025-09-01,14,True
2025-09-01 15:00:00,2013.0,1831.0,-182.0,2025-09-01,15,True
2025-09-01 16:00:00,2175.0,1988.0,-187.0,2025-09-01,16,True
2025-09-01 17:00:00,2313.0,2296.0,-17.0,2025-09-01,17,True
2025-09-01 18:00:00,2444.0,2431.0,-13.0,2025-09-01,18,True
2025-09-01 19:00:00,2533.0,2628.0,95.0,2025-09-01,19,True
2025-09-01 20:00:00,2624.0,2747.0,123.0,2025-09-01,20,True
2025-09-01 21:00:00,2702.0,2745.0,43.0,2025-09-01,21,True
2025-09-01 22:00:00,2789.0,2782.0,-7.0,2025-09-01,22,True
2025-09-01 23:00:00,2807.0,2746.0,-61.0,2025-09-01,23,True
2025-09-02 00:00:00,2754.0,2729.0,-25.0,2025-09-02,0,True
2025-09-02 01:00:00,2645.0,2691.0,46.0,2025-09-02,1,True
2025-09-02 02:00:00,2561.0,2668.0,107.0,2025-09-02,2,True
2025-09-02 03:00:00,2346.0,2620.0,274.0,2025-09-02,3,False
2025-09-02 04:00:00,2083.0,2493.0,410.0,2025-09-02,4,False
2025-09-02 05:00:00,1851.0,2335.0,484.0,2025-09-02,5,False
2025-09-02 06:00:00,1664.0,2095.0,431.0,2025-09-02,6,False
2025-09-02 07:00:00,1555.0,1759.0,204.0,2025-09-02,7,False
2025-09-02 08:00:00,1518.0,1694.0,176.0,2025-09-02,8,False
2025-09-02 09:00:00,1478.0,1656.0,178.0,2025-09-02,9,False
2025-09-02 10:00:00,1498.0,1613.0,115.0,2025-09-02,10,False
2025-09-02 11:00:00,1626.0,1684.0,58.0,2025-09-02,11,True
2025-09-02 12:00:00,1793.0,1926.0,133.0,2025-09-02,12,False
2025-09-02 13:00:00,1870.0,2186.0,316.0,2025-09-02,13,False
2025-09-02 14:00:00,1947.0,2477.0,530.0,2025-09-02,14,False
2025-09-02 15:00:00,2015.0,2581.0,566.0,2025-09-02,15,False
2025-09-02 16:00:00,2157.0,2701.0,544.0,2025-09-02,16,False
2025-09-02 17:00:00,2299.0,2791.0,492.0,2025-09-02,17,False
2025-09-02 18:00:00,2486.0,2924.0,438.0,2025-09-02,18,False
2025-09-02 19:00:00,2643.0,2994.0,351.0,2025-09-02,19,False
2025-09-02 20:00:00,2776.0,3023.0,247.0,2025-09-02,20,False
2025-09-02 21:00:00,2881.0,3045.0,164.0,2025-09-02,21,True
2025-09-02 22:00:00,2955.0,3039.0,84.0,2025-09-02,22,True
2025-09-02 23:00:00,3005.0,3138.0,133.0,2025-09-02,23,True
2025-09-03 00:00:00,2947.0,3129.0,182.0,2025-09-03,0,True
2025-09-03 01:00:00,2763.0,2993.0,230.0,2025-09-03,1,False
2025-09-03 02:00:00,2661.0,3129.0,468.0,2025-09-03,2,False
2025-09-03 03:00:00,2441.0,2967.0,526.0,2025-09-03,3,False
2025-09-03 04:00:00,2158.0,2636.0,478.0,2025-09-03,4,False
2025-09-03 05:00:00,1902.0,2507.0,605.0,2025-09-03,5,False
2025-09-03 06:00:00,1748.0,2508.0,760.0,2025-09-03,6,False
2025-09-03 07:00:00,1655.0,2493.0,838.0,2025-09-03,7,False
2025-09-03 08:00:00,1590.0,2384.0,794.0,2025-09-03,8,False
2025-09-03 09:00:00,1568.0,2303.0,735.0,2025-09-03,9,False
2025-09-03 10:00:00,1580.0,2234.0,654.0,2025-09-03,10,False
2025-09-03 11:00:00,1687.0,2198.0,511.0,2025-09-03,11,False
2025-09-03 12:00:00,1856.0,2376.0,520.0,2025-09-03,12,False
2025-09-03 13:00:00,1943.0,2541.0,598.0,2025-09-03,13,False
2025-09-03 14:00:00,1986.0,2630.0,644.0,2025-09-03,14,False
2025-09-03 15:00:00,2091.0,2733.0,642.0,2025-09-03,15,False
2025-09-03 16:00:00,2251.0,2965.0,714.0,2025-09-03,16,False
2025-09-03 17:00:00,2457.0,3197.0,740.0,2025-09-03,17,False
2025-09-03 18:00:00,2692.0,3322.0,630.0,2025-09-03,18,False
